contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
META251226C00775000,2025-12-23 15:30:13+00:00,775.0,0.01,0.0,0.01,0.0,0.0,3.0,1355.0,0.476567734375,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.476567734375,,,,
META251226C00780000,2025-12-23 14:32:55+00:00,780.0,0.01,0.0,0.01,-0.02,-66.66667,1.0,5256.0,0.49219257812500006,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.49219257812500006,,,,
META251226C00785000,2025-12-22 19:38:42+00:00,785.0,0.01,0.0,0.01,0.0,0.0,5.0,628.0,0.507817421875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.507817421875,,,,
META251226C00790000,2025-12-22 15:20:11+00:00,790.0,0.02,0.0,0.01,0.0,0.0,175.0,385.0,0.500005,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.02,0.500005,,,,
META251226C00795000,2025-12-19 17:09:46+00:00,795.0,0.01,0.0,0.01,0.0,0.0,91.0,127.0,0.51562984375,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.51562984375,,,,
META251226C00800000,2025-12-22 20:59:33+00:00,800.0,0.01,0.0,0.01,0.0,0.0,7.0,962.0,0.5312546875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.5312546875,,,,
META251226C00805000,2025-12-22 14:37:33+00:00,805.0,0.01,0.0,0.01,0.0,0.0,2.0,639.0,0.5468795312500001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.5468795312500001,,,,
META251226C00810000,2025-12-22 14:30:10+00:00,810.0,0.24,0.0,0.01,0.0,0.0,2.0,77.0,0.5625043750000001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.24,0.5625043750000001,,,,
META251226C00815000,2025-12-16 20:33:44+00:00,815.0,0.01,0.0,0.01,0.0,0.0,20.0,28.0,0.57812921875,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.57812921875,,,,
META251226C00820000,2025-12-22 14:46:53+00:00,820.0,0.01,0.0,0.01,0.0,0.0,40.0,229.0,0.5937540625000001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.5937540625000001,,,,
META251226C00825000,2025-12-19 17:15:48+00:00,825.0,0.01,0.0,0.01,0.0,0.0,5.0,729.0,0.6093789062500001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.01,0.6093789062500001,,,,
META251226C00830000,2025-12-19 19:33:02+00:00,830.0,0.03,0.0,0.01,0.0,0.0,1.0,162.0,0.6250037500000001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.03,0.6250037500000001,,,,
META251226C00835000,2025-12-19 17:30:48+00:00,835.0,0.02,0.0,0.01,0.0,0.0,12.0,91.0,0.64062859375,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.02,0.64062859375,,,,
META251226C00840000,2025-12-09 15:20:19+00:00,840.0,0.08,0.0,0.01,0.0,0.0,1.0,163.0,0.6562534375000001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.08,0.6562534375000001,,,,
META251226C00845000,2025-12-11 17:32:16+00:00,845.0,0.02,0.0,0.01,0.0,0.0,1.0,3.0,0.6875031250000001,False,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,0.02,0.6875031250000001,,,,
